Datetime,Hourly Global Radiation (KJ/m2),Hourly Maximum Gust (kn),Hourly Mean Wind Direction (o),Hourly Mean Windspeed (kn),Hourly Pressure at Mean Sea Level (hPa),Hourly Rainfall Total (mm),Hourly Relative Humidity (%),Hourly Snow Depth (cm),Hourly Temperature (C),"Hourly Total Cloud Cover (oktas)
",Hourly Visibility (dm)
2013-01-03 17:00:00,1.6666666666666667,13.4,250.0,7.3999999999999995,1035.0,0.0,90.27142857142857,0.0,10.471428571428572,7.666666666666667,3666.6666666666665
2013-01-03 18:00:00,0.0,13.4,252.0,7.3999999999999995,1035.625,0.0,90.82857142857142,0.0,10.285714285714286,7.666666666666667,3333.3333333333335
2013-01-03 19:00:00,0.0,15.200000000000001,254.0,8.8,1035.8500000000001,0.0,89.88571428571429,0.0,10.4,7.666666666666667,2766.6666666666665
2013-01-03 20:00:00,0.0,16.4,252.0,9.4,1036.175,0.0,89.89999999999999,0.0,10.485714285714286,8.0,2633.3333333333335
2013-01-03 21:00:00,0.0,17.0,258.0,9.799999999999999,1036.225,0.0,89.97142857142856,0.0,10.62857142857143,8.0,3633.3333333333335
2013-01-03 22:00:00,0.0,16.4,260.0,9.4,1036.85,0.0,89.67142857142858,0.0,10.700000000000001,8.0,3600.0
2013-01-03 23:00:00,0.0,15.6,258.0,8.6,1036.85,0.0,89.74285714285715,0.0,10.585714285714285,8.0,4333.333333333333
2013-01-04 00:00:00,0.0,16.8,256.0,9.200000000000001,1036.95,0.0,88.77142857142857,0.0,10.385714285714286,8.0,4500.0
2013-01-04 01:00:00,0.0,16.6,262.0,8.8,1036.825,0.0,88.41428571428571,0.0,9.985714285714286,8.0,4500.0
2013-01-04 02:00:00,0.0,16.0,260.0,8.6,1037.0,0.0,87.55714285714285,0.0,9.685714285714285,8.0,4500.0
2013-01-04 03:00:00,0.0,15.200000000000001,264.0,9.0,1037.025,0.0,86.68571428571428,0.0,9.485714285714286,8.0,4166.666666666667
2013-01-04 04:00:00,0.0,15.6,262.0,8.4,1037.075,0.03333333333333333,86.07142857142857,0.0,9.37142857142857,8.0,4166.666666666667
2013-01-04 05:00:00,0.0,15.200000000000001,262.0,8.4,1036.9750000000001,0.0,85.44285714285715,0.0,9.328571428571427,8.0,3466.6666666666665
2013-01-04 06:00:00,0.0,16.0,262.0,9.6,1037.1,0.0,84.14285714285714,0.0,9.328571428571427,8.0,3066.6666666666665
2013-01-04 07:00:00,0.0,17.8,264.0,10.200000000000001,1037.225,0.0,82.39999999999999,0.0,9.271428571428572,8.0,2866.6666666666665
2013-01-04 08:00:00,0.0,17.4,272.0,9.200000000000001,1037.55,0.0,81.01428571428572,0.0,9.157142857142857,7.666666666666667,3266.6666666666665
2013-01-04 09:00:00,40.0,16.0,266.0,8.6,1037.675,0.0,80.15714285714286,0.0,9.028571428571428,7.666666666666667,3666.6666666666665
2013-01-04 10:00:00,232.33333333333334,13.799999999999999,268.0,8.0,1038.025,0.0,79.41428571428571,0.0,9.342857142857143,7.666666666666667,3333.3333333333335
2013-01-04 11:00:00,306.6666666666667,14.4,274.0,8.2,1038.0249999999999,0.0,79.95714285714287,0.0,9.357142857142858,7.666666666666667,3000.0
2013-01-04 12:00:00,439.0,16.6,274.0,9.4,1037.775,0.0,78.8,0.0,9.528571428571428,6.666666666666667,3700.0
2013-01-04 13:00:00,364.3333333333333,16.6,272.0,10.200000000000001,1037.35,0.0,81.15714285714286,0.0,9.700000000000001,7.666666666666667,3566.6666666666665
2013-01-04 14:00:00,229.0,17.0,276.0,9.6,1037.0,0.0,82.51428571428572,0.0,9.771428571428572,7.666666666666667,3833.3333333333335
2013-01-04 15:00:00,159.66666666666666,16.0,278.0,9.0,1036.825,0.0,83.89999999999999,0.0,9.87142857142857,7.666666666666667,2733.3333333333335
2013-01-04 16:00:00,53.0,12.799999999999999,278.0,7.0,1037.075,0.0,85.27142857142857,0.0,9.657142857142857,7.666666666666667,2600.0
2013-01-04 17:00:00,2.6666666666666665,12.6,270.0,7.0,1037.1,0.0,86.45714285714287,0.0,9.542857142857143,7.666666666666667,2166.6666666666665
2013-01-04 18:00:00,0.0,11.4,266.0,6.8,1036.8,0.0,87.94285714285715,0.0,9.385714285714286,7.666666666666667,1800.0
2013-01-04 19:00:00,0.0,12.200000000000001,264.0,7.2,1036.975,0.0,89.60000000000001,0.0,9.185714285714285,7.666666666666667,1533.3333333333333
2013-01-04 20:00:00,0.0,13.0,258.0,7.8,1037.1,0.0,91.39999999999999,0.0,8.942857142857143,8.0,1300.0
2013-01-04 21:00:00,0.0,12.0,264.0,6.8,1036.925,0.0,92.72857142857143,0.0,8.671428571428573,8.0,786.6666666666666
2013-01-04 22:00:00,0.0,12.799999999999999,260.0,7.8,1036.7749999999999,0.0,93.25714285714285,0.0,8.371428571428572,8.0,753.3333333333334
2013-01-04 23:00:00,0.0,13.200000000000001,264.0,8.4,1036.625,0.0,93.32857142857142,0.0,8.057142857142857,7.666666666666667,913.3333333333334
2013-01-05 00:00:00,0.0,12.799999999999999,258.0,7.6000000000000005,1036.625,0.0,93.3,0.0,7.885714285714286,8.333333333333334,813.3333333333334
2013-01-05 01:00:00,0.0,13.0,260.0,7.2,1036.45,0.0,93.28571428571429,0.0,7.857142857142857,8.333333333333334,943.3333333333334
2013-01-05 02:00:00,0.0,12.4,260.0,7.0,1036.35,0.0,94.10000000000001,0.0,7.771428571428571,8.333333333333334,876.6666666666666
2013-01-05 03:00:00,0.0,12.799999999999999,256.0,7.6000000000000005,1036.225,0.0,94.67142857142858,0.0,7.728571428571429,8.333333333333334,810.0
2013-01-05 04:00:00,0.0,12.799999999999999,262.0,6.8,1035.8,0.0,95.5,0.0,7.685714285714285,8.333333333333334,680.0
2013-01-05 05:00:00,0.0,8.6,258.0,5.3999999999999995,1035.425,0.0,96.54285714285713,0.0,7.771428571428571,8.0,450.0
2013-01-05 06:00:00,0.0,7.8,246.0,4.6000000000000005,1035.325,0.0,97.2,0.0,7.985714285714286,8.0,486.6666666666667
2013-01-05 07:00:00,0.0,8.2,240.0,4.2,1035.475,0.0,97.57142857142857,0.0,8.22857142857143,7.666666666666667,900.0
2013-01-05 08:00:00,0.3333333333333333,5.6000000000000005,198.0,3.0,1035.85,0.0,97.8,0.0,8.328571428571427,8.0,500.0
2013-01-05 09:00:00,31.666666666666668,6.0,198.0,3.6,1035.85,0.0,97.84285714285714,0.0,8.585714285714285,7.666666666666667,683.3333333333334
2013-01-05 10:00:00,113.33333333333333,7.8,210.0,4.2,1036.05,0.0,97.11428571428571,0.0,9.057142857142857,8.0,1160.0
2013-01-05 11:00:00,166.33333333333334,8.8,224.0,5.2,1036.125,0.0,95.5,0.0,9.6,8.0,1566.6666666666667
2013-01-05 12:00:00,240.66666666666669,10.799999999999999,236.0,5.6000000000000005,1035.5,0.0,91.32857142857142,0.0,10.071428571428571,8.0,2733.3333333333335
2013-01-05 13:00:00,266.3333333333333,15.0,252.0,8.6,1034.9,0.0,85.55714285714285,0.0,10.357142857142858,7.666666666666667,3833.3333333333335
2013-01-05 14:00:00,244.66666666666669,15.6,252.0,9.4,1034.5249999999999,0.0,85.87142857142858,0.0,10.299999999999999,7.666666666666667,4333.333333333333
2013-01-05 15:00:00,150.33333333333334,16.2,258.0,9.6,1034.325,0.0,85.41428571428571,0.0,10.12857142857143,7.666666666666667,3666.6666666666665
2013-01-05 16:00:00,41.333333333333336,15.200000000000001,256.0,8.8,1033.825,0.0,86.85714285714286,0.0,9.814285714285715,7.666666666666667,3666.6666666666665
2013-01-05 17:00:00,3.3333333333333335,14.6,252.0,8.0,1033.9,0.0,88.35714285714286,0.0,9.799999999999999,8.0,3033.3333333333335
2013-01-05 18:00:00,0.0,17.2,264.0,9.200000000000001,1034.2,0.0,88.61428571428571,0.0,9.928571428571429,8.0,3500.0
2013-01-05 19:00:00,0.0,14.200000000000001,264.0,8.0,1034.375,0.0,87.71428571428571,0.0,10.014285714285714,8.0,4166.666666666667
2013-01-05 20:00:00,0.0,12.4,260.0,7.0,1034.2,0.0,88.31428571428572,0.0,9.37142857142857,5.0,3500.0
2013-01-05 21:00:00,0.0,10.4,252.0,6.3999999999999995,1034.325,0.0,90.9,0.0,8.714285714285714,2.6666666666666665,3200.0
2013-01-05 22:00:00,0.0,9.200000000000001,236.0,4.8,1034.325,0.0,93.24285714285715,0.0,7.8428571428571425,1.0,2466.6666666666665
2013-01-05 23:00:00,0.0,7.6000000000000005,226.0,4.4,1034.1,0.0,95.60000000000001,0.0,7.114285714285714,0.6666666666666666,1766.6666666666667
2013-01-06 00:00:00,0.0,7.2,220.0,4.0,1033.8,0.0,97.0,0.0,6.8,0.0,1300.0
2013-01-06 01:00:00,0.0,7.2,232.0,3.8000000000000003,1033.575,0.0,97.18571428571428,0.0,6.728571428571429,0.3333333333333333,866.6666666666666
2013-01-06 02:00:00,0.0,6.6000000000000005,206.0,3.6,1032.95,0.0,97.54285714285713,0.0,6.3,2.6666666666666665,506.6666666666667
2013-01-06 03:00:00,0.0,6.6000000000000005,242.0,3.8000000000000003,1033.525,0.0,98.2,0.0,6.028571428571429,0.6666666666666666,370.0
2013-01-06 04:00:00,0.0,7.2,266.0,4.0,1033.675,0.06666666666666667,98.45714285714287,0.0,6.257142857142857,4.666666666666667,470.0
2013-01-06 05:00:00,0.0,9.200000000000001,266.0,5.2,1033.425,0.0,98.48571428571428,0.0,6.485714285714286,6.666666666666667,333.3333333333333
2013-01-06 06:00:00,0.0,8.4,250.0,4.6000000000000005,1033.325,0.03333333333333333,98.71428571428571,0.0,6.614285714285714,8.333333333333334,83.33333333333333
2013-01-06 07:00:00,0.0,9.0,236.0,5.0,1033.175,0.0,98.71428571428571,0.0,6.6571428571428575,8.333333333333334,133.33333333333334
2013-01-06 08:00:00,0.0,7.6000000000000005,240.0,4.0,1033.5,0.0,98.94285714285715,0.0,6.771428571428571,8.333333333333334,166.66666666666666
2013-01-06 09:00:00,40.333333333333336,6.3999999999999995,236.0,3.1999999999999997,1033.35,0.0,98.94285714285715,0.0,7.185714285714285,8.333333333333334,123.33333333333333
2013-01-06 10:00:00,100.33333333333333,5.8,226.0,3.1999999999999997,1033.5,0.03333333333333333,98.97142857142856,0.0,7.428571428571429,8.333333333333334,163.33333333333334
2013-01-06 11:00:00,176.0,6.2,226.0,3.8000000000000003,1033.425,0.04,98.77142857142857,0.0,7.485714285714286,8.333333333333334,136.66666666666666
2013-01-06 12:00:00,289.6666666666667,7.0,218.0,3.8000000000000003,1032.975,0.0,98.75714285714285,0.0,7.328571428571428,8.0,210.0
2013-01-06 13:00:00,224.66666666666666,7.3999999999999995,222.0,4.2,1032.6,0.0,98.32857142857142,0.0,7.385714285714285,8.333333333333334,506.6666666666667
2013-01-06 14:00:00,227.66666666666666,8.2,210.0,4.4,1031.975,0.03333333333333333,97.71428571428571,0.0,7.428571428571429,8.333333333333334,710.0
2013-01-06 15:00:00,113.0,8.0,212.0,4.8,1031.425,0.0,96.7,0.0,7.328571428571428,8.333333333333334,573.3333333333334
2013-01-06 16:00:00,80.0,8.4,210.0,4.6000000000000005,1031.05,0.0,96.5,0.0,7.314285714285715,7.666666666666667,833.3333333333334
2013-01-06 17:00:00,5.666666666666667,7.8,200.0,3.8000000000000003,1030.775,0.0,96.5,0.0,7.128571428571428,7.666666666666667,733.3333333333334
2013-01-06 18:00:00,0.0,6.6000000000000005,200.0,3.8000000000000003,1030.6,0.0,96.27142857142857,0.0,7.1000000000000005,7.666666666666667,710.0
2013-01-06 19:00:00,0.0,5.8,194.0,2.8000000000000003,1030.4750000000001,0.0,95.55714285714285,0.0,7.557142857142857,8.0,763.3333333333334
2013-01-06 20:00:00,0.0,9.799999999999999,206.0,4.6000000000000005,1029.95,0.0,95.39999999999999,0.0,7.971428571428571,8.0,796.6666666666666
2013-01-06 21:00:00,0.0,10.200000000000001,218.0,5.2,1030.15,0.0,95.38571428571429,0.0,8.12857142857143,8.0,1133.3333333333333
2013-01-06 22:00:00,0.0,11.4,214.0,5.6000000000000005,1029.8999999999999,0.0,93.42857142857143,0.0,8.285714285714286,8.0,1466.6666666666667
2013-01-06 23:00:00,0.0,11.6,218.0,6.3999999999999995,1029.9,0.0,93.0,0.0,8.114285714285714,8.0,1866.6666666666667
2013-01-07 00:00:00,0.0,11.799999999999999,218.0,6.6000000000000005,1029.7,0.0,93.14285714285714,0.0,7.8999999999999995,8.0,1533.3333333333333
2013-01-07 01:00:00,0.0,11.0,222.0,6.2,1029.35,0.0,94.28571428571429,0.0,7.642857142857143,8.0,1146.6666666666667
2013-01-07 02:00:00,0.0,10.200000000000001,232.0,6.0,1029.2749999999999,0.0,95.47142857142856,0.0,7.3428571428571425,8.0,1233.3333333333333
2013-01-07 03:00:00,0.0,10.200000000000001,230.0,5.2,1028.8,0.0,96.85714285714286,0.0,7.028571428571429,8.0,1000.0
2013-01-07 04:00:00,0.0,10.0,228.0,5.6000000000000005,1028.525,0.03333333333333333,94.14285714285714,0.0,6.985714285714286,7.666666666666667,1933.3333333333333
2013-01-07 05:00:00,0.0,8.8,208.0,4.8,1027.825,0.0,94.89999999999999,0.0,6.8428571428571425,7.666666666666667,1363.3333333333333
2013-01-07 06:00:00,0.0,8.0,194.0,4.8,1027.475,0.0,94.48571428571428,0.0,6.914285714285714,7.666666666666667,1283.3333333333333
2013-01-07 07:00:00,0.0,8.6,196.0,5.2,1027.3500000000001,0.0,94.12857142857142,0.0,6.985714285714286,7.666666666666667,1066.6666666666667
2013-01-07 08:00:00,0.0,9.200000000000001,206.0,5.0,1027.65,0.0,94.97142857142856,0.0,7.014285714285714,7.666666666666667,866.6666666666666
2013-01-07 09:00:00,16.0,8.8,200.0,5.0,1027.7,0.0,95.22857142857143,0.0,7.071428571428571,7.666666666666667,726.6666666666666
